fecha,humedad
2019-01-01,65.1740429133583
2019-01-02,68.20192430620531
2019-01-03,72.1918797453413
2019-01-04,68.15828431568492
2019-01-05,65.08385424986004
2019-01-06,68.3076638541
2019-01-07,67.53197066328543
2019-01-08,76.71222066564683
2019-01-09,75.71281789137527
2019-01-10,76.7815853562617
2019-01-11,74.17127264300719
2019-01-12,75.61554280109647
2019-01-13,75.69106784784054
2019-01-14,71.69136404114037
2019-01-15,72.6213280583587
2019-01-16,71.06106741449791
2019-01-17,75.63276513250906
2019-01-18,67.2937169558779
2019-01-19,67.10504178966389
2019-01-20,70.33775008753501
2019-01-21,72.92647700235274
2019-01-22,65.1396920573743
2019-01-23,69.50938783584581
2019-01-24,75.25775024899065
2019-01-25,74.23090147653129
2019-01-26,64.4231635441462
2019-01-27,64.22291871360935
2019-01-28,66.51210374665438
2019-01-29,70.72919149827851
2019-01-30,68.2385501758224
2019-01-31,69.14212771559006
2019-02-01,69.62265007482243
2019-02-02,70.87524826343616
2019-02-03,68.42067800506491
2019-02-04,69.39554879914448
2019-02-05,75.46507801623166
2019-02-06,74.42091019072264
2019-02-07,75.22632191770288
2019-02-08,77.66117034778061
2019-02-09,81.2133363758849
2019-02-10,76.25167727529397
2019-02-11,79.10246441270097
2019-02-12,78.59400322774552
2019-02-13,77.34827011960705
2019-02-14,72.13394953266172
2019-02-15,74.42945398624735
2019-02-16,72.2367176588377
2019-02-17,76.51015132026141
2019-02-18,77.522581363009
2019-02-19,78.82811248474965
2019-02-20,79.26729601123236
2019-02-21,79.88063851910654
2019-02-22,71.87235981275438
2019-02-23,63.56117328518212
2019-02-24,66.93388690945395
2019-02-25,72.5344234322227
2019-02-26,68.03054119192211
2019-02-27,64.33600118212962
2019-02-28,64.90320417870865
2019-03-01,61.09276339871336
2019-03-02,60.60590933200122
2019-03-03,63.75846189885145
2019-03-04,62.06020143763914
2019-03-05,76.60844841360584
2019-03-06,74.24263655283342
2019-03-07,72.08020915197442
2019-03-08,75.55511415966036
2019-03-09,79.63617682525275
2019-03-10,77.68276853980588
2019-03-11,73.75925890786576
2019-03-12,70.57978928312514
2019-03-13,73.05775208944723
2019-03-14,71.04491552079061
2019-03-15,70.34415439246743
2019-03-16,69.76675895835227
2019-03-17,64.11536099554786
2019-03-18,64.92930074715548
2019-03-19,71.47768180447898
2019-03-20,74.03013320916611
2019-03-21,75.81597533066925
2019-03-22,78.42835120856054
2019-03-23,76.57133341284296
2019-03-24,69.52517883118992
2019-03-25,73.69073265100243
2019-03-26,74.66760329034264
2019-03-27,63.107452429640496
2019-03-28,72.06020549791634
2019-03-29,79.49067285554474
2019-03-30,74.30470126947357
2019-03-31,74.76712886597961
2019-04-01,74.19691432517067
2019-04-02,74.5405347433559
2019-04-03,70.48797905251749
2019-04-04,74.95334011691332
2019-04-05,71.97643397099645
2019-04-06,65.42130362657466
2019-04-07,66.88469731730181
2019-04-08,72.41268963539223
2019-04-09,71.58503905324767
2019-04-10,66.38410262407959
2019-04-11,69.69532896910934
2019-04-12,67.26696635145083
2019-04-13,65.82926410084144
2019-04-14,71.4651524465427
2019-04-15,69.69526223987496
2019-04-16,70.19123555929538
2019-04-17,77.9466809923124
2019-04-18,75.11822665654161
2019-04-19,71.74186948663375
2019-04-20,66.8208617032056
2019-04-21,67.20716719941558
2019-04-22,78.74047556895273
2019-04-23,70.05235977247801
2019-04-24,77.34834392325013
2019-04-25,76.32510892799584
2019-04-26,72.27785586894346
2019-04-27,71.11623229510607
2019-04-28,67.48302294005182
2019-04-29,66.56614855869378
2019-04-30,65.07995281755542
2019-05-01,67.16097158221623
2019-05-02,66.46392261447748
2019-05-03,65.91847014638068
2019-05-04,71.4290757915013
2019-05-05,75.34017562690372
2019-05-06,76.02500365299377
2019-05-07,77.17958105766786
2019-05-08,71.95079128020977
2019-05-09,75.34235744973759
2019-05-10,63.56579459777564
2019-05-11,65.06797902104114
2019-05-12,66.684293885656
2019-05-13,72.86318312420227
2019-05-14,76.6723646548784
2019-05-15,65.75062403362092
2019-05-16,63.512633347057324
2019-05-17,63.7835176693062
2019-05-18,68.84800809168979
2019-05-19,68.54508297048399
2019-05-20,72.28073904101753
2019-05-21,70.23651711923756
2019-05-22,72.89119979476673
2019-05-23,72.5009208440585
2019-05-24,63.95490265116547
2019-05-25,68.13489554118243
2019-05-26,75.05687845042763
2019-05-27,73.51365448063468
2019-05-28,73.01732407768074
2019-05-29,73.68813200438196
2019-05-30,71.49343287799842
2019-05-31,69.92217115119226
2019-06-01,72.40516746721367
2019-06-02,73.85000448172872
2019-06-03,75.34479335662675
2019-06-04,72.50288157798767
2019-06-05,69.44883387441355
2019-06-06,73.88489794027717
2019-06-07,65.69635893696965
2019-06-08,72.13542460822454
2019-06-09,72.2472754944659
2019-06-10,70.73549719812726
2019-06-11,67.8920340395135
2019-06-12,71.48646429963934
2019-06-13,67.86673657916822
2019-06-14,72.24222610130538
2019-06-15,73.24304743863657
2019-06-16,63.878860413743325
2019-06-17,66.49377915887673
2019-06-18,74.5311832367884
2019-06-19,74.89079748611962
2019-06-20,73.28483371325405
2019-06-21,69.27442305630639
2019-06-22,71.92000076424667
2019-06-23,66.24232081434351
2019-06-24,68.78972094972363
2019-06-25,67.47552715646452
2019-06-26,66.43240209532657
2019-06-27,70.74302640855034
2019-06-28,68.8617937979394
2019-06-29,74.69398338122087
2019-06-30,73.15258576020169
2019-07-01,77.68331738812134
2019-07-02,76.85204257660878
2019-07-03,77.79838602753604
2019-07-04,75.44253307450926
2019-07-05,74.94008713582357
