fecha,tmed
2019-01-01,13.78775472981188
2019-01-02,13.384630364101774
2019-01-03,13.203435960213989
2019-01-04,13.839927472023867
2019-01-05,13.073155726808155
2019-01-06,12.956054602345596
2019-01-07,12.67843957781339
2019-01-08,12.460414444050803
2019-01-09,13.017652080270857
2019-01-10,13.451578285970847
2019-01-11,13.270077761515916
2019-01-12,12.865690115243087
2019-01-13,12.56942148309501
2019-01-14,13.095341659333947
2019-01-15,13.702679072088202
2019-01-16,13.61812678696565
2019-01-17,14.027207995198685
2019-01-18,13.49742660869929
2019-01-19,12.742771649593891
2019-01-20,12.813389716916067
2019-01-21,13.63011967061449
2019-01-22,13.218465141274145
2019-01-23,13.582387373316344
2019-01-24,13.670188145565463
2019-01-25,13.80533002444561
2019-01-26,14.533670646908833
2019-01-27,14.30300411206413
2019-01-28,13.683938989995946
2019-01-29,14.084851179534116
2019-01-30,14.63809128623625
2019-01-31,14.650408628945709
2019-02-01,14.499146296072174
2019-02-02,14.03648770263895
2019-02-03,13.95283039237927
2019-02-04,13.715123737332853
2019-02-05,13.6796303537254
2019-02-06,13.927252801581066
2019-02-07,13.628471437580194
2019-02-08,13.614754029284065
2019-02-09,14.138380059984401
2019-02-10,13.988589638026554
2019-02-11,14.816179229061628
2019-02-12,15.141863557510938
2019-02-13,14.796077164319243
2019-02-14,14.766215745226825
2019-02-15,14.844910563889536
2019-02-16,14.375236442265845
2019-02-17,14.481758586811534
2019-02-18,14.301327289920904
2019-02-19,14.552029099997226
2019-02-20,14.202377573810123
2019-02-21,14.046586806511153
2019-02-22,14.469524811129064
2019-02-23,13.903480471249221
2019-02-24,14.403788230286285
2019-02-25,14.269678427234819
2019-02-26,14.482933185811147
2019-02-27,14.706495765617841
2019-02-28,13.710305323465656
2019-03-01,14.491590265960541
2019-03-02,14.943752333227302
2019-03-03,14.851793039311536
2019-03-04,14.613676025716867
2019-03-05,14.273828235610987
2019-03-06,14.394929056487918
2019-03-07,14.850918356136322
2019-03-08,14.528151465290193
2019-03-09,13.71827236706675
2019-03-10,14.419469327059506
2019-03-11,15.379759942244148
2019-03-12,15.575269917461457
2019-03-13,15.792521248867633
2019-03-14,15.23643605263949
2019-03-15,15.147703973911673
2019-03-16,15.209268351370875
2019-03-17,16.142326263883376
2019-03-18,15.593450404827433
2019-03-19,15.587831059356478
2019-03-20,14.882089347367314
2019-03-21,14.442262925445327
2019-03-22,14.170137367202479
2019-03-23,14.926134247968625
2019-03-24,15.600019146328556
2019-03-25,15.66667739771266
2019-03-26,15.6876866414027
2019-03-27,15.465543353671464
2019-03-28,15.635534544267086
2019-03-29,15.373039259426042
2019-03-30,15.782834515746975
2019-03-31,15.742783998379794
2019-04-01,16.166913916087363
2019-04-02,15.13182666100036
2019-04-03,14.959504949331759
2019-04-04,14.459824008135572
2019-04-05,15.312426299275101
2019-04-06,15.450505742112135
2019-04-07,15.579911973641327
2019-04-08,16.539605069528793
2019-04-09,16.19738376664409
2019-04-10,16.41277451578139
2019-04-11,16.182156912143434
2019-04-12,16.66692763641626
2019-04-13,16.897444579409818
2019-04-14,16.83276862329148
2019-04-15,16.795574962624002
2019-04-16,17.211513557775074
2019-04-17,16.8232372428261
2019-04-18,17.178235285520714
2019-04-19,16.780980358719553
2019-04-20,16.698522219967224
2019-04-21,15.997515173631097
2019-04-22,16.26421803121694
2019-04-23,16.379881809437713
2019-04-24,16.349215191176707
2019-04-25,16.688113023112148
2019-04-26,17.142282138294526
2019-04-27,17.01427071614722
2019-04-28,17.016973903913687
2019-04-29,17.41796125662805
2019-04-30,17.528122577951077
2019-05-01,17.560943355274276
2019-05-02,18.028444612010723
2019-05-03,17.403893934906016
2019-05-04,17.72277630129964
2019-05-05,18.009340611304346
2019-05-06,18.793777638716275
2019-05-07,19.13291431018511
2019-05-08,19.772954438527933
2019-05-09,19.538961190738437
2019-05-10,19.508415288485956
2019-05-11,18.942519594696268
2019-05-12,19.35158939831292
2019-05-13,18.392172559152925
2019-05-14,18.271810464636715
2019-05-15,19.196714553643748
2019-05-16,19.707847514214354
2019-05-17,19.938432064721713
2019-05-18,19.411910206380295
2019-05-19,19.158657353626076
2019-05-20,19.04262264090566
2019-05-21,19.13073626841301
2019-05-22,19.537839213767686
2019-05-23,19.424043621250334
2019-05-24,19.507945975308253
2019-05-25,19.536582609745324
2019-05-26,18.988075494698453
2019-05-27,19.90311117642834
2019-05-28,20.530472490149375
2019-05-29,20.09323241855083
2019-05-30,20.069223018125165
2019-05-31,19.77241213994804
2019-06-01,19.955172364478464
2019-06-02,19.629885885954092
2019-06-03,19.76430314431815
2019-06-04,20.236789016166593
2019-06-05,20.743134893250108
2019-06-06,20.29996747035409
2019-06-07,21.30084847989912
2019-06-08,21.607013146831264
2019-06-09,21.377588044042334
2019-06-10,20.567322915101673
2019-06-11,21.180313074862546
2019-06-12,20.574337197212053
2019-06-13,21.903178096466704
2019-06-14,20.72747075076862
2019-06-15,21.089648017232463
2019-06-16,21.649012032566475
2019-06-17,22.242824286569284
2019-06-18,21.537386023236515
2019-06-19,20.871606059399014
2019-06-20,20.334455022971063
2019-06-21,20.390706427790803
2019-06-22,20.25703261069272
2019-06-23,21.11903382668825
2019-06-24,21.58553429038126
2019-06-25,22.13119383199459
2019-06-26,22.318161201631817
2019-06-27,22.080270985469507
2019-06-28,22.110830764456672
2019-06-29,22.105130623937804
2019-06-30,22.08815486076485
2019-07-01,22.01120141063783
2019-07-02,22.736138988410907
2019-07-03,22.915106872071433
2019-07-04,22.800591111497972
2019-07-05,23.2506653077372
