ds,trend,cap,floor,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,estacion_Invierno,estacion_Invierno_lower,estacion_Invierno_upper,estacion_Otoño,estacion_Otoño_lower,estacion_Otoño_upper,estacion_Primavera,estacion_Primavera_lower,estacion_Primavera_upper,estacion_Verano,estacion_Verano_lower,estacion_Verano_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,tmed_max,tmed_max_lower,tmed_max_upper,tmed_mean,tmed_mean_lower,tmed_mean_upper,tmed_min,tmed_min_lower,tmed_min_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-01-01,17.099016220253006,34.60000038146973,4.150000095367432,12.045859888473329,15.769821892641454,17.099016220253006,17.099016220253006,-3.3112614904411264,-3.3112614904411264,-3.3112614904411264,1.3304013099560261,1.3304013099560261,1.3304013099560261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3002067990188024,-3.3002067990188024,-3.3002067990188024,0.04135691520592441,0.04135691520592441,0.04135691520592441,-4.710665512773256,-4.710665512773256,-4.710665512773256,0.038700488592503496,0.038700488592503496,0.038700488592503496,-0.02903442472939545,-0.02903442472939545,-0.02903442472939545,0.01797973330707199,0.01797973330707199,0.01797973330707199,0.0,0.0,0.0,13.78775472981188
2019-01-02,17.09917759859298,34.60000038146973,4.150000095367432,11.478154390163182,15.128799197819701,17.09917759859298,17.09917759859298,-3.7145472344912074,-3.7145472344912074,-3.7145472344912074,1.3304013099560261,1.3304013099560261,1.3304013099560261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7213980055915785,-3.7213980055915785,-3.7213980055915785,0.0431345110431811,0.0431345110431811,0.0431345110431811,-5.154647806908575,-5.154647806908575,-5.154647806908575,0.059713980317789836,0.059713980317789836,0.059713980317789836,-0.01848956149736346,-0.01848956149736346,-0.01848956149736346,0.025340332597734477,0.025340332597734477,0.025340332597734477,0.0,0.0,0.0,13.384630364101774
2019-01-03,17.099338977456025,34.60000038146973,4.150000095367432,11.375381055304247,15.111326238691333,17.099338977456025,17.099338977456025,-3.895903017242036,-3.895903017242036,-3.895903017242036,1.3304013099560261,1.3304013099560261,1.3304013099560261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.954633904664754,-3.954633904664754,-3.954633904664754,0.03957930241609577,0.03957930241609577,0.03957930241609577,-5.394835243217309,-5.394835243217309,-5.394835243217309,0.070220726180433,0.070220726180433,0.070220726180433,0.026066042992993328,0.026066042992993328,0.026066042992993328,0.03266484442972466,0.03266484442972466,0.03266484442972466,0.0,0.0,0.0,13.203435960213989
2019-01-04,17.0995003568421,34.60000038146973,4.150000095367432,11.958494004784257,15.699498635900417,17.0995003568421,17.0995003568421,-3.259572884818233,-3.259572884818233,-3.259572884818233,1.3304013099560261,1.3304013099560261,1.3304013099560261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3301420564563022,-3.3301420564563022,-3.3301420564563022,0.04135691520592441,0.04135691520592441,0.04135691520592441,-4.761614261936042,-4.761614261936042,-4.761614261936042,0.059713980317789836,0.059713980317789836,0.059713980317789836,0.030683889695365386,0.030683889695365386,0.030683889695365386,0.039885281942704166,0.039885281942704166,0.039885281942704166,0.0,0.0,0.0,13.839927472023867
2019-01-05,17.09966173675118,34.60000038146973,4.150000095367432,11.200190152213223,14.812404570709866,17.09966173675118,17.09966173675118,-4.026506009943025,-4.026506009943025,-4.026506009943025,1.3304013099560261,1.3304013099560261,1.3304013099560261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.094866292845258,-4.094866292845258,-4.094866292845258,0.050244945249923734,0.050244945249923734,0.050244945249923734,-5.533125181200472,-5.533125181200472,-5.533125181200472,0.05761263314926396,0.05761263314926396,0.05761263314926396,0.02142540741766484,0.02142540741766484,0.02142540741766484,0.046934875484567186,0.046934875484567186,0.046934875484567186,0.0,0.0,0.0,13.073155726808155
2019-01-06,17.09982311718322,34.60000038146973,4.150000095367432,11.228960858880708,14.805842550556395,17.09982311718322,17.09982311718322,-4.143768514837625,-4.143768514837625,-4.143768514837625,1.3304013099560261,1.3304013099560261,1.3304013099560261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1934497644041375,-4.1934497644041375,-4.1934497644041375,0.04935613885500939,0.04935613885500939,0.04935613885500939,-5.635022540701489,-5.635022540701489,-5.635022540701489,0.06181532748631573,0.06181532748631573,0.06181532748631573,-0.004068275283239244,-0.004068275283239244,-0.004068275283239244,0.05374952484975297,0.05374952484975297,0.05374952484975297,0.0,0.0,0.0,12.956054602345596
2019-01-07,17.099984498138195,34.60000038146973,4.150000095367432,10.944230337780617,14.457361214496677,17.099984498138195,17.099984498138195,-4.421544920324805,-4.421544920324805,-4.421544920324805,1.3304013099560261,1.3304013099560261,1.3304013099560261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.455231038408467,-4.455231038408467,-4.455231038408467,0.05380015387700904,0.05380015387700904,0.05380015387700904,-5.897045135390766,-5.897045135390766,-5.897045135390766,0.05761263314926396,0.05761263314926396,0.05761263314926396,-0.026583078596018266,-0.026583078596018266,-0.026583078596018266,0.06026919667968034,0.06026919667968034,0.06026919667968034,0.0,0.0,0.0,12.67843957781339
2019-01-08,17.100145879616054,34.60000038146973,4.150000095367432,10.582192414156289,14.192483753613857,17.100145879616054,17.100145879616054,-4.639731435565251,-4.639731435565251,-4.639731435565251,1.3304013099560261,1.3304013099560261,1.3304013099560261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6771362416635744,-4.6771362416635744,-4.6771362416635744,0.05380015387700904,0.05380015387700904,0.05380015387700904,-6.110544939951756,-6.110544939951756,-6.110544939951756,0.04920723445514666,0.04920723445514666,0.04920723445514666,-0.029034424729364513,-0.029034424729364513,-0.029034424729364513,0.066439230827688,0.066439230827688,0.066439230827688,0.0,0.0,0.0,12.460414444050803
2019-01-09,17.100307261616777,34.60000038146973,4.150000095367432,11.161143011134069,14.805631688105276,17.100307261616777,17.100307261616777,-4.08265518134592,-4.08265518134592,-4.08265518134592,1.3304013099560261,1.3304013099560261,1.3304013099560261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.136377141568006,-4.136377141568006,-4.136377141568006,0.025802862628925595,0.025802862628925595,0.025802862628925595,-5.558599335976324,-5.558599335976324,-5.558599335976324,0.06601802182336751,0.06601802182336751,0.06601802182336751,-0.01848956149734122,-0.01848956149734122,-0.01848956149734122,0.07221152171942571,0.07221152171942571,0.07221152171942571,0.0,0.0,0.0,13.017652080270857
2019-01-10,17.100468644140314,34.60000038146973,4.150000095367432,11.614205801356341,15.294757644829716,17.100468644140314,17.100468644140314,-3.6488903581694663,-3.6488903581694663,-3.6488903581694663,1.3304013099560261,1.3304013099560261,1.3304013099560261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7525019450478094,-3.7525019450478094,-3.7525019450478094,0.03780170657883908,0.03780170657883908,0.03780170657883908,-5.201957767912878,-5.201957767912878,-5.201957767912878,0.08125280633020424,0.08125280633020424,0.08125280633020424,0.02606604299296165,0.02606604299296165,0.02606604299296165,0.0775455438853819,0.0775455438853819,0.0775455438853819,0.0,0.0,0.0,13.451578285970847
