fecha,tmax
2019-01-01,17.52327763597906
2019-01-02,17.392530184205075
2019-01-03,16.883584562638816
2019-01-04,17.8607669815445
2019-01-05,16.334028444057026
2019-01-06,16.462057193508834
2019-01-07,16.62497174680045
2019-01-08,15.810852308211306
2019-01-09,17.185184083846245
2019-01-10,16.710216798447767
2019-01-11,16.402098797624056
2019-01-12,15.655381109627474
2019-01-13,16.04912663952014
2019-01-14,17.319112413190254
2019-01-15,17.999474151496983
2019-01-16,17.54347615315775
2019-01-17,17.140184322350457
2019-01-18,16.6430332969026
2019-01-19,15.75211751404732
2019-01-20,15.992777641006658
2019-01-21,16.95056486029201
2019-01-22,16.371888263438382
2019-01-23,16.297358533351275
2019-01-24,16.22992788523357
2019-01-25,16.74975018515857
2019-01-26,17.744142222922946
2019-01-27,17.946715598057853
2019-01-28,16.98577601945729
2019-01-29,17.096011454169503
2019-01-30,17.74099261293728
2019-01-31,17.380609585555025
2019-02-01,17.990243925595315
2019-02-02,17.69409092669531
2019-02-03,17.567849461589734
2019-02-04,17.34375981249052
2019-02-05,17.248796197973956
2019-02-06,17.25284356291856
2019-02-07,16.916567687357613
2019-02-08,16.425158150292205
2019-02-09,16.748057109508153
2019-02-10,16.78958506003679
2019-02-11,17.992035666857717
2019-02-12,18.397271527259335
2019-02-13,17.331622137216254
2019-02-14,17.87353532399254
2019-02-15,17.101624566368738
2019-02-16,17.316772594936506
2019-02-17,17.49009445653831
2019-02-18,17.153843803198235
2019-02-19,17.498227139636306
2019-02-20,16.726504139349533
2019-02-21,16.656967770485302
2019-02-22,18.1241908996261
2019-02-23,17.012107435598477
2019-02-24,17.626671138901994
2019-02-25,17.046926361929152
2019-02-26,17.421129759747
2019-02-27,17.671715924504362
2019-02-28,17.229565625783287
2019-03-01,18.457222273698402
2019-03-02,18.38325058692274
2019-03-03,18.40503146887419
2019-03-04,17.745035609705276
2019-03-05,17.465082909047183
2019-03-06,17.045673066938054
2019-03-07,18.18755167898205
2019-03-08,17.716752452823492
2019-03-09,16.97154165597017
2019-03-10,17.514893553977476
2019-03-11,19.2940025790988
2019-03-12,19.244811932806808
2019-03-13,19.20487651850957
2019-03-14,18.160285674806488
2019-03-15,18.482754992862887
2019-03-16,18.318234969408486
2019-03-17,19.58631886828237
2019-03-18,18.51310824398957
2019-03-19,17.799235758273895
2019-03-20,17.00641947754999
2019-03-21,16.692649578649245
2019-03-22,16.680079522618982
2019-03-23,17.291948697684205
2019-03-24,18.69373565982265
2019-03-25,18.41960915752804
2019-03-26,18.34298766156411
2019-03-27,17.937141675359477
2019-03-28,17.3573058737188
2019-03-29,17.2472861811001
2019-03-30,19.041138708452138
2019-03-31,18.464315521321623
2019-04-01,18.952052541645468
2019-04-02,18.3005770701795
2019-04-03,18.34339922020975
2019-04-04,17.05506502562926
2019-04-05,17.527153171329218
2019-04-06,18.57251517093849
2019-04-07,18.52711799430133
2019-04-08,19.41103321342848
2019-04-09,19.252366080784473
2019-04-10,19.524026194899314
2019-04-11,19.3914760625558
2019-04-12,20.082863574536397
2019-04-13,19.598657876125145
2019-04-14,19.595205698590735
2019-04-15,19.67552777049844
2019-04-16,20.00491807430987
2019-04-17,19.407980606038027
2019-04-18,19.563187201908605
2019-04-19,19.4879454202611
2019-04-20,19.32706287890624
2019-04-21,18.585980923758445
2019-04-22,18.69729691367937
2019-04-23,19.08614695417199
2019-04-24,18.708757045149
2019-04-25,19.288393669525373
2019-04-26,20.342880092407867
2019-04-27,19.789673336895845
2019-04-28,20.218228584275984
2019-04-29,20.67275663314136
2019-04-30,21.068285639009506
2019-05-01,21.31276999821828
2019-05-02,21.306855485777703
2019-05-03,20.103377310083207
2019-05-04,20.300739866783175
2019-05-05,21.335597785866607
2019-05-06,22.3256265935825
2019-05-07,22.116185424954985
2019-05-08,23.090277882193405
2019-05-09,22.411812224621414
2019-05-10,22.16854210851342
2019-05-11,21.560195523929945
2019-05-12,22.245812507893596
2019-05-13,21.13079353652413
2019-05-14,21.324755621029727
2019-05-15,22.998528810030287
2019-05-16,22.950010302749657
2019-05-17,23.287636926029172
2019-05-18,22.574729177582206
2019-05-19,22.22471752153531
2019-05-20,22.00291310771263
2019-05-21,22.55949992110699
2019-05-22,22.870019815407087
2019-05-23,22.312977922641434
2019-05-24,22.724128518129756
2019-05-25,22.25563848684463
2019-05-26,21.422143702210178
2019-05-27,22.767191020416636
2019-05-28,23.85803075615112
2019-05-29,22.622154995301763
2019-05-30,22.587216742798198
2019-05-31,22.240884825252834
2019-06-01,22.51058724018953
2019-06-02,22.14794489291174
2019-06-03,22.415286978140596
2019-06-04,23.40442105622692
2019-06-05,24.04306281174743
2019-06-06,23.190417807776374
2019-06-07,24.74105718036289
2019-06-08,25.081303059126107
2019-06-09,24.684334042861423
2019-06-10,23.64442577562057
2019-06-11,24.443862704085483
2019-06-12,23.49581866836119
2019-06-13,25.41306639694616
2019-06-14,23.52937301052579
2019-06-15,24.138838448354676
2019-06-16,24.97345515301993
2019-06-17,25.772522446049706
2019-06-18,24.78760434114096
2019-06-19,23.819676862908572
2019-06-20,22.641420411466243
2019-06-21,23.566294719254742
2019-06-22,23.63604456972672
2019-06-23,24.10428275597359
2019-06-24,24.294997208631063
2019-06-25,25.13211189787961
2019-06-26,25.554870757712553
2019-06-27,25.439289113736866
2019-06-28,25.581856080242606
2019-06-29,25.28799177444309
2019-06-30,25.377085033314124
2019-07-01,25.03507458645355
2019-07-02,26.245104109612505
2019-07-03,26.178324467836063
2019-07-04,25.908358428817554
2019-07-05,26.534474139874945
